Wavelength	Intensity
2.1723707458902632	582
2.1716985340159471	570
2.1710267396919574	586
2.1703553625308345	588
2.1696844021455957	595
2.1690138581497349	574
2.1683437301572273	585
2.1676740177825238	583
2.1670047206405516	577
2.1663358383467122	581
2.1656673705168847	581
2.1649993167674184	585
2.16433167671514	585
2.1636644499773463	586
2.1629976361718066	584
2.1623312349167616	592
2.1616652458309216	578
2.160999668533468	597
2.1603345026440506	586
2.1596697477827864	597
2.159005403570263	588
2.1583414696275312	586
2.1576779455761095	586
2.1570148310379822	591
2.1563521256355984	579
2.1556898289918691	585
2.155027940730172	590
2.154366460474344	591
2.1537053878486865	586
2.1530447224779588	587
2.1523844639873859	594
2.1517246120026465	588
2.1510651661498827	586
2.1504061260556924	589
2.1497474913471319	587
2.1490892616517154	589
2.1484314365974124	586
2.1477740158126468	592
2.1471169989263	586
2.1464603855677038	586
2.1458041753666484	582
2.1451483679533716	590
2.1444929629585667	582
2.1438379600133772	590
2.143183358749396	588
2.142529158798669	590
2.1418753597936893	575
2.1412219613673975	589
2.1405689631531852	593
2.1399163647848893	594
2.1392641658967921	595
2.1386123661236245	591
2.1379609651005609	594
2.1373099624632208	588
2.1366593578476665	590
2.1360091508904056	584
2.1353593412283858	584
2.1347099284989981	590
2.1340609123400736	591
2.1334122923898851	575
2.1327640682871443	590
2.1321162396710029	582
2.1314688061810494	589
2.130821767457312	590
2.1301751231402544	585
2.1295288728707784	585
2.12888301629022	598
2.1282375530403521	581
2.1275924827633803	575
2.126947805101945	588
2.12630351969912	590
2.12565962619841	590
2.125016124243754	602
2.1243730134795209	594
2.12373029355051	591
2.12308796410195	591
2.1224460247795007	591
2.1218044752292493	591
2.1211633150977103	586
2.1205225440318256	598
2.1198821616789663	605
2.1192421676869282	600
2.1186025617039288	600
2.1179633433786158	589
2.1173245123600579	585
2.116686068297748	584
2.1160480108416024	599
2.1154103396419579	581
2.1147730543495751	588
2.1141361546156325	595
2.1134996400917325	600
2.1128635104298952	601
2.1122277652825594	609
2.1115924043025824	592
2.1109574271432407	592
2.1103228334582247	610
2.1096886229016452	603
2.109054795128027	598
2.1084213497923092	609
2.1077882865498472	595
