Wavelength	Intensity
1.7494602903202392	598
1.7490250278013462	581
1.748589983016299	592
1.7481551558027129	598
1.7477205459983629	586
1.7472861534411845	606
1.7468519779692764	586
1.7464180194208976	592
1.7459842776344665	587
1.7455507524485629	590
1.7451174437019268	590
1.7446843512334578	587
1.7442514748822158	580
1.7438188144874205	590
1.74338636988845	580
1.7429541409248426	588
1.7425221274362963	581
1.7420903292626657	607
1.7416587462439661	601
1.7412273782203707	591
1.7407962250322109	586
1.7403652865199755	588
1.7399345625243128	596
1.7395040528860275	589
1.7390737574460813	606
1.7386436760455943	583
1.7382138085258441	592
1.7377841547282633	600
1.7373547144944432	569
1.7369254876661304	586
1.7364964740852282	587
1.7360676735937959	584
1.7356390860340489	584
1.7352107112483586	587
1.7347825490792521	585
1.7343545993694098	602
1.7339268619616703	598
1.7334993366990248	589
1.7330720234246206	583
1.7326449219817595	590
1.7322180322138974	593
1.7317913539646435	589
1.7313648870777629	591
1.7309386313971735	582
1.7305125867669464	607
1.7300867530313067	580
1.7296611300346338	593
1.7292357176214577	600
1.7288105156364635	593
1.7283855239244885	586
1.7279607423305217	586
1.7275361706997048	580
1.7271118088773321	595
1.7266876567088494	587
1.7262637140398545	600
1.7258399807160969	601
1.7254164565834771	586
1.7249931414880466	589
1.7245700352760083	584
1.7241471377937172	592
1.7237244488876764	588
1.7233019684045414	589
1.7228796961911168	582
1.7224576320943585	596
1.7220357759613711	569
1.7216141276394104	594
1.7211926869758796	585
1.7207714538183334	577
1.7203504280144746	593
1.719929609412155	595
1.7195089978593758	600
1.7190885932042865	579
1.7186683952951844	583
1.7182484039805161	595
1.7178286191088756	584
1.7174090405290057	590
1.7169896680897956	596
1.7165705016402835	582
1.7161515410296542	586
1.7157327861072385	587
1.7153142367225169	593
1.7148958927251148	596
1.7144777539648046	579
1.7140598202915052	587
1.7136420915552824	596
1.7132245676063471	587
1.7128072482950571	590
1.7123901334719149	595
1.7119732229875704	590
1.7115565166928164	580
1.7111400144385926	596
1.7107237160759841	605
1.7103076214562196	590
1.7098917304306727	587
1.7094760428508633	583
1.7090605585684524	581
1.7086452774352483	591
1.7082301993032014	584
1.7078153240244074	594
1.7074006514511038	599
1.7069861814356733	584
1.706571913830641	585
1.7061578484886752	584
1.7057439852625875	577
1.7053303240053315	592
1.7049168645700041	575
1.7045036068098451	583
1.704090550578236	589
1.703677695728699	601
1.7032650421149014	588
1.7028525895906488	592
1.7024403380098907	602
1.702028287226717	595
1.7016164370953601	577
1.7012047874701908	583
1.7007933382057243	593
1.7003820891566135	575
1.6999710401776529	583
1.6995601911237783	588
1.6991495418500644	586
1.6987390922117269	593
1.6983288420641205	577
1.6979187912627403	594
1.6975089396632208	593
1.6970992871213353	591
1.6966898334929963	593
1.6962805786342574	592
1.6958715224013079	592
1.695462664650478	577
1.6950540052382361	581
1.6946455440211883	584
1.6942372808560786	590
1.69382921559979	587
1.6934213481093441	593
1.6930136782418976	588
1.6926062058547466	584
1.6921989308053249	592
1.6917918529512026	593
1.6913849721500864	585
1.6909782882598203	587
1.6905718011383861	594
1.6901655106439009	601
1.6897594166346184	589
1.689353518968929	590
1.6889478175053581	582
1.6885423121025684	578
1.688137002619357	590
1.687731888914658	600
1.6873269708475391	580
1.6869222482772048	587
1.6865177210629934	591
1.6861133890643796	595
1.6857092521409711	585
1.6853053101525124	601
1.6849015629588797	580
1.6844980104200857	584
1.6840946523962763	579
1.683691488747731	581
1.6832885193348646	596
1.6828857440182237	588
1.6824831626584889	586
1.6820807751164748	580
1.6816785812531285	590
1.6812765809295298	589
1.6808747740068926	586
1.6804731603465617	592
1.6800717398100167	580
1.6796705122588669	593
1.6792694775548558	588
1.6788686355598583	577
1.6784679861358807	594
1.6780675291450617	586
1.6776672644496702	588
1.6772671919121094	582
1.6768673113949115	588
1.6764676227607394	583
1.6760681258723882	608
1.6756688205927839	586
1.6752697067849813	590
1.6748707843121691	587
1.6744720530376616	576
1.6740735128249074	572
1.6736751635374834	590
1.6732770050390964	593
1.6728790371935827	592
1.6724812598649086	592
1.6720836729171693	592
1.6716862762145903	585
1.671289069621525	590
1.6708920530024558	587
1.6704952262219943	597
1.6700985891448812	593
1.6697021416359852	594
1.6693058835603019	597
1.6689098147829577	593
1.6685139351692055	591
1.668118244584426	592
1.6677227428941275	597
1.6673274299639469	581
1.666932305659647	594
1.66653736984712	593
1.6661426223923823	585
1.6657480631615804	593
1.6653536920209846	577
1.664959508836994	597
1.6645655134761337	594
1.6641717058050545	600
1.6637780856905338	583
1.6633846529994754	600
1.662991407598909	592
1.6625983493559882	592
1.6622054781379958	588
1.661812793812337	587
1.661420296246543	595
1.6610279853082712	581
1.6606358608653029	580
1.6602439227855448	590
1.659852170937028	587
1.6594606051879091	585
1.6590692254064672	587
1.6586780314611074	601
1.6582870232203586	607
1.6578962005528737	608
1.6575055633274287	591
1.6571151114129241	603
1.6567248446783833	599
1.6563347629929543	597
1.6559448662259064	585
1.6555551542466342	578
1.6551656269246533	575
1.6547762841296034	586
1.654387125731247	580
1.6539981515994677	586
1.6536093616042731	595
1.6532207556157923	605
1.6528323335042761	582
1.6524440951400987	596
1.6520560403937543	589
1.6516681691358597	591
1.6512804812371533	588
1.6508929765684948	600
1.6505056550008654	579
1.6501185164053658	583
1.649731560653221	592
1.6493447876157727	582
1.6489581971644871	598
1.6485717891709477	592
1.648185563506861	585
1.6477995200440523	586
1.6474136586544659	579
1.6470279792101705	578
1.6466424815833489	590
1.6462571656463072	590
1.6458720312714705	598
1.6454870783313835	594
1.6451023066987083	595
1.6447177162462285	593
1.6443333068468451	586
1.6439490783735782	606
1.6435650306995688	594
1.6431811636980724	580
1.6427974772424665	602
1.6424139712062451	584
1.6420306454630207	598
1.6416474998865243	595
1.6412645343506038	601
1.6408817487292267	597
1.6404991428964755	588
1.6401167167265522	600
1.6397344700937757	597
1.6393524028725814	613
1.6389705149375229	603
1.6385888061632694	597
1.6382072764246076	591
1.6378259255964414	607
1.6374447535537904	610
1.6370637601717903	587
1.6366829453256941	596
1.6363023088908708	619
1.6359218507428037	603
1.6355415707570946	612
1.6351614688094582	618
1.6347815447757279	630
1.6344017985318486	599
1.6340222299538854	601
1.6336428389180135	616
1.6332636253005266	602
1.6328845889778323	595
1.6325057298264527	607
1.6321270477230247	619
1.6317485425442995	629
1.6313702141671433	628
1.6309920624685366	605
1.6306140873255726	606
1.6302362886154598	616
1.6298586662155201	596
1.6294812200031894	589
1.6291039498560167	603
1.6287268556516652	630
1.6283499372679104	634
1.6279731945826417	669
1.6275966274738607	632
1.6272202358196834	597
1.626844019498338	594
1.6264679783881644	603
1.626092112367616	625
1.6257164213152577	635
1.6253409051097685	622
1.624965563629938	611
1.624590396754668	631
1.6242154043629717	639
1.6238405863339764	659
1.623465942546918	640
